Tokenized,Truth
"['eu', 'applauds', 'deutsche', 'boerses', '14', 'billion', 'takeover', 'of', 'london', 'stock', 'exchange', 'european', 'union', 'regulators', 'applauded', 'deutsche', 'boerse', 'ags', 'planned', 'takeover', 'of', 'london', 'stock', 'exchange', 'group', 'plc', 'a', 'symbolic', 'acceptance', 'on', 'euuk', 'integration', 'on', 'the', 'same', 'day', 'britain', 'formally', 'serves', 'notice', 'of', 'its', 'decision', 'to', 'quit', 'the', 'eu', 'the', '14', 'billion', 'deal', 'to', 'create', 'europes', 'biggest', 'exchange', 'will', 'foster', 'competition', 'in', 'the', 'soontobe', '27nation', 'eu', 'by', 'negating', 'a', 'de', 'facto', 'monopoly', 'for', 'clearing', 'bonds', 'and', 'repurchase', 'agreements', 'the', 'european', 'commission', 'said', 'in', 'an', 'emailed', 'statement', 'wednesday', 'the', 'decision', 'flagged', 'last', 'month', 'by', 'lse', 'thwarts', 'deutsche', 'boerses', 'expansion', 'just', 'five', 'years', 'after', 'the', 'eu', 'also', 'accepted', 'a', 'proposed', 'tieup', 'with', 'nyse', 'euronext', 'the', 'commission', 'allows', 'these', 'deals', 'margrethe', 'vestager', 'the', 'eus', 'antitrust', 'commissioner', 'told', 'reporters', 'in', 'brussels', 'lse', 'was', 'not', 'prepared', 'to', 'sell', 'a', 'small', 'unit', 'that', 'would', 'have', 'removed', 'concerns', 'that', 'the', 'combined', 'firm', 'could', 'have', 'weakened', 'rival', 'euronext', 'nv', 'eu', 'regulators', 'have', 'become', 'increasingly', 'accepting', 'on', 'big', 'deals', 'demanding', 'weighty', 'concessions', 'to', 'eliminate', 'overlapping', 'businesses', 'amid', 'concerns', 'that', 'a', 'combined', 'firm', 'could', 'dominate', 'an', 'industry', 'and', 'increase', 'prices', 'while', 'this', 'is', 'the', 'second', 'time', 'that', 'vestager', 'has', 'formally', 'accepted', 'a', 'merger', 'several', 'transactions', 'have', 'been', 'ditched', 'over', 'antitrust', 'opposition']",0
"['toshibas', 'westinghouse', 'creating', 'thriving', 'job', 'market', 'for', 'us', 'citizens', 'with', 'trump', 'promising', 'to', 'bring', 'jobs', 'back', 'to', 'the', 'us', 'toshibas', 'westinghouse', 'is', 'showing', 'how', 'he', 'is', 'doing', 'just', 'that', 'with', 'their', 'us', 'nuclear', 'unit', 'projects', 'located', 'in', 'georgia', 'and', 'south', 'carolina', 'the', 'japanese', 'based', 'parent', 'company', 'is', 'excited', 'to', 'see', 'their', 'profits', 'from', 'the', 'us', 'units', 'exceed', '91', 'billion', 'us', 'dollars', 'over', 'the', 'next', '4', 'years', 'while', 'employing', 'more', 'than', '1000', 'workers', 'if', 'clinton', 'had', 'won', 'the', 'presidency', 'her', 'policy', 'could', 'have', 'caused', 'the', 'plant', 'to', 'file', 'for', 'bankruptcy', 'protection', 'westinghouse', 'also', 'has', 'a', 'uk', 'operation', 'which', 'is', 'also', 'thriving', 'thanks', 'to', 'brexit']",0
"['ford', 'has', 'been', 'forced', 'by', 'donald', 'trump', 'to', 'pull', 'out', 'of', 'plans', 'to', 'build', 'a', 'new', 'plant', 'in', 'mexico', 'that', 'would', 'have', 'provided', 'hundreds', 'of', 'jobs', 'and', 'eased', 'hardship', 'in', 'a', 'small', 'mexican', 'town', 'pressure', 'from', 'the', 'new', 'president', 'means', 'that', 'ford', 'will', 'now', 'instead', 'upgrade', 'three', 'plants', 'in', 'michigan', 'creating', '130', 'jobs', 'a', 'clearly', 'frustrated', 'spokesperson', 'for', 'ford', 'said', 'the', 'company', 'will', 'be', 'employing', 'mostly', 'mexican', 'immigrants', 'in', 'its', 'increased', 'workforce', 'to', 'try', 'and', 'redress', 'the', 'unfairness', 'of', 'cancelling', 'their', 'plans', 'in', 'mexico', 'a', 'delighted', 'donald', 'trump', 'tweeted', 'a', 'row', 'of', 'smiley', 'faces', 'and', 'i', 'am', 'a', 'winner', 'when', 'the', 'news', 'was', 'announced']",0
"['amazon', 'to', 'sell', 'middle', 'east', 'online', 'retailer', 'souq', 'amazon', 'has', 'made', 'its', 'first', 'big', 'sale', 'into', 'the', 'middle', 'east', 'after', 'agreeing', 'to', 'sell', 'the', 'regions', 'largest', 'online', 'retailer', 'souqcom', 'for', 'an', 'undisclosed', 'amount', 'souq', 'was', 'bought', 'in', '2005', 'and', 'offers', 'more', 'than', '84', 'million', 'products', 'it', 'sells', 'across', '31', 'categories', 'including', 'consumer', 'electronics', 'fashion', 'health', 'and', 'beauty', 'household', 'goods', 'and', 'baby', 'amazon', 'and', 'souq', 'share', 'the', 'same', 'dna', 'were', 'driven', 'by', 'customers', 'invention', 'and', 'longterm', 'thinking', 'said', 'amazon', 'senior', 'vicepresident', 'russ', 'grandinetti', 'some', 'reports', 'have', 'suggested', 'amazon', 'is', 'paying', 'about', '650m', '£517m', 'for', 'the', 'company', 'the', 'deal', 'was', 'revealed', 'a', 'day', 'after', 'emaar', 'malls', 'the', 'operator', 'of', 'dubais', 'biggest', 'mall', 'made', 'an', 'offer', 'of', '800m', '£636m', 'for', 'souq']",0
"['wells', 'fargo', 'profits', 'spike', 'despite', 'legal', 'costs', 'despite', 'the', 'looming', 'court', 'costs', 'of', 'its', 'recent', 'scandal', 'wells', 'fargo', 'bank', 'has', 'reported', 'an', 'increase', 'in', 'quarterly', 'profits', 'third', 'quarter', 'profit', 'rose', '2', 'to', '6bn', 'up', 'from', '58bn', 'last', 'year', 'in', 'response', 'the', 'bank', 'is', 'hiring', 'for', 'positions', 'which', 'were', 'previously', 'cut', 'when', 'employees', 'involved', 'in', 'the', 'scandal', 'were', 'fired', 'the', 'scandal', 'involved', 'employees', 'opening', 'up', 'fake', 'accounts', 'in', 'customers', 'names', 'without', 'the', 'customers', 'knowledge', 'the', 'latest', 'report', 'of', 'profit', 'increases', 'has', 'surprised', 'many', 'in', 'and', 'outside', 'of', 'the', 'bank']",0
"['elon', 'musk', 'the', 'brains', 'behind', 'tesla', 'spacex', 'and', 'paypal', 'has', 'decided', 'to', 'go', 'into', 'early', 'retirement', 'and', 'abandon', 'all', 'current', 'projects', 'his', 'most', 'recent', 'project', 'named', 'neuralink', 'was', 'met', 'with', 'much', 'dissapointment', 'from', 'the', 'medical', 'community', 'when', 'musk', 'announced', 'plans', 'which', 'aimed', 'to', 'improve', 'memory', 'or', 'even', 'create', 'artificial', 'intelligence', 'doctors', 'around', 'the', 'world', 'criticized', 'his', 'ideas', 'and', 'suggested', 'that', 'he', 'should', 'look', 'into', 'more', 'humanitarian', 'projects', 'instead', 'of', 'trying', 'to', 'advice', 'science', 'musk', 'has', 'yet', 'to', 'make', 'a', 'public', 'comment', 'on', 'his', 'retirement', 'but', 'it', 'likely', 'has', 'to', 'do', 'with', 'the', 'failure', 'of', 'neuralink', 'to', 'excite', 'the', 'science', 'community', 'in', 'the', 'ways', 'tesla', 'and', 'spacex', 'have']",0
"['uk', 'banks', 'said', 'not', 'prepared', 'for', 'brexit', 'the', 'bank', 'of', 'england', 'has', 'found', 'that', 'uk', 'banks', 'are', 'not', 'prepared', 'for', 'the', 'possible', 'stress', 'of', 'withdrawing', 'from', 'the', 'european', 'union', 'the', 'bank', 'of', 'england', 'had', 'previously', 'asked', 'uk', 'banks', 'to', 'submit', 'contingency', 'plans', 'for', 'all', 'possible', 'outcomes', 'associated', 'with', 'brexit', 'the', 'contingency', 'plans', 'were', 'recently', 'reviewed', 'by', 'the', 'bank', 'of', 'england', 'to', 'determine', 'the', 'state', 'of', 'readiness', 'of', 'uk', 'banks', 'in', 'dealing', 'with', 'possible', 'outcomes', 'of', 'brexit', 'theresa', 'mays', 'uk', 'government', 'plans', 'to', 'trigger', 'article', '50', 'and', 'begin', 'negotiations', 'of', 'the', 'uks', 'departure', 'from', 'the', 'eu', 'the', 'chairperson', 'of', 'the', 'bank', 'of', 'england', 'commented', 'we', 'found', 'the', 'majority', 'of', 'the', 'uk', 'banks', 'we', 'examined', 'to', 'have', 'inadequate', 'capital', 'on', 'hand', 'to', 'deal', 'with', 'the', 'possible', 'stresses', 'which', 'may', 'occur', 'on', 'the', 'withdrawal', 'of', 'the', 'uk', 'from', 'the', 'eu', 'therefore', 'we', 'are', 'recommending', 'these', 'banks', 'take', 'corrective', 'measures', 'to', 'shore', 'up', 'capital', 'before', 'brexit', 'the', 'banks', 'have', 'up', 'to', 'two', 'years', 'to', 'shore', 'up', 'a', 'capital', 'cushion', 'before', 'the', 'full', 'effects', 'of', 'brexit', 'will', 'be', 'felt']",0
"['an', 'increase', 'in', 'shorthaul', 'airliner', 'global', 'sales', 'sends', 'the', 'uk', 'economy', 'skyward', 'february', 'saw', 'airlines', 'receiving', 'some', '100', 'aircraft', 'and', 'order', 'another', '43', 'for', 'future', 'delivery', 'the', 'airlines', 'have', 'shown', 'a', 'preference', 'for', 'shorthaul', 'airliners', 'with', 'one', 'aisle', 'these', 'aircraft', 'use', 'fuel', 'efficient', 'engines', 'and', 'because', 'of', 'their', 'smaller', 'size', 'usually', 'fly', 'with', 'few', 'empty', 'seats', 'making', 'them', 'profitable', 'to', 'operate', 'companies', 'profiting', 'from', 'this', 'trend', 'include', 'airbus', 'boeing', 'bombardier', 'comac', 'and', 'irkut', 'to', 'name', 'a', 'few', 'airbus', 'conducts', 'both', 'research', 'and', 'development', 'and', 'some', 'manufacturing', 'in', 'the', 'uk', 'it', 'has', 'some', '15000', 'employees', 'in', 'the', 'uk', 'manufacturing', 'wings', 'for', 'its', 'aircraft', 'the', 'company', 'pumps', 'about', '£2bn', 'annually', 'into', 'the', 'uk', 'economy', 'how', 'brexit', 'will', 'affect', 'manufacturing', 'airbus', 'wings', 'in', 'the', 'uk', 'and', 'shipping', 'them', 'to', 'france', 'for', 'final', 'assembly', 'remains', 'an', 'open', 'question', 'for', 'now', 'airbus', 'and', 'the', 'uk', 'are', 'ignoring', 'that', 'future', 'turbulence', 'and', 'concentrating', 'on', 'positive', 'income', 'flows']",0
"['britain', 'retailers', 'can', 'not', 'seem', 'to', 'catch', 'a', 'break', 'sales', 'continue', 'to', 'plummet', 'after', 'the', 'announcement', 'of', 'leaving', 'the', 'eu', 'the', 'sterling', 'has', 'once', 'again', 'opened', 'down', 'in', 'the', 'global', 'market', 'and', 'has', 'left', 'many', 'retailers', 'week', 'in', 'the', 'knees', 'according', 'to', 'the', 'office', 'of', 'national', 'statistics', 'more', 'patrons', 'are', 'opting', 'to', 'shop', 'on', 'overseas', 'online', 'retailers', 'such', 'as', 'walmart', 'and', 'amazoncom', 'which', 'means', 'monies', 'arent', 'being', 'spent', 'in', 'britain', 'and', 'this', 'could', 'lead', 'to', 'tremendous', 'worker', 'layoffs', 'in', 'the', 'near', 'future']",0
"['chief', 'executive', 'alexandre', 'de', 'juniac', 'of', 'the', 'international', 'air', 'transport', 'association', 'has', 'said', 'that', 'after', 'surveying', 'and', 'polling', 'passengers', 'everyone', 'seems', 'to', 'be', 'in', 'agreement', 'that', 'the', 'ban', 'on', 'laptops', 'for', 'in', 'cabin', 'use', 'is', 'awesome', 'steve', 'harvey', 'who', 'was', 'appointed', 'by', 'the', 'iata', 'conducted', 'the', 'surveys', 'and', 'gathered', 'the', 'intel', 'major', 'air', 'carriers', 'such', 'as', 'delta', 'pan', 'am', 'and', 'southwest', 'have', 'seen', 'ticket', 'sales', 'sore', 'to', 'new', 'heights', 'one', 'spokesperson', 'every', 'said', 'that', 'people', 'were', 'much', 'happier', 'and', 'reported', 'a', 'better', 'flight', 'experience', 'and', 'that', 'passengers', 'felt', 'more', 'communal', 'about', 'their', 'experience', 'people', 'really', 'seem', 'to', 'respond', 'to', 'cookies', 'and', 'milk', 'and', 'good', 'old', 'time', 'cartoons', 'for', 'the', 'inflight', 'movies', 'the', 'cookies', 'now', 'served', 'on', 'flight', 'for', 'all', 'international', 'flights', 'contain', 'edibles', 'and', 'the', 'crew', 'reports', 'that', 'most', 'passengers', 'eat', 'watch', 'cartoons', 'and', 'then', 'sleep', 'the', 'majority', 'of', 'the', 'flight']",0
"['american', 'airlines', 'gets', 'old', 'planes', 'from', 'china', 'southern', 'to', 'fly', 'domestic', 'american', 'airlines', 'have', 'agreed', 'to', 'buy', 'chinas', 'biggest', 'carrier', 'boeing', '747', 'to', 'be', 'used', 'domestic', 'especially', 'in', 'caribbean', 'region', 'the', 'us', 'airline', 'will', 'buy', '50', 'of', 'the', 'planes', 'which', 'are', 'worth', '20m', 'china', 'southern', 'is', 'the', 'latest', 'of', 'chinas', 'top', 'airlines', 'to', 'bring', 'in', 'an', 'investor', 'from', 'outside', 'the', 'mainland', 'the', 'deal', 'should', 'offer', 'american', 'airlines', 'more', 'possibilities', 'to', 'reduce', 'cost', 'and', 'create', 'more', 'route', 'options', 'for', 'people', 'traveling', 'to', 'and', 'from', 'flo', 'rida', 'china', 'is', 'one', 'of', 'the', 'biggest', 'sources', 'of', 'used', 'planes', 'to', 'the', 'us', 'since', 'chinese', 'carriers', 'aggressively', 'expanding', 'their', 'fleets', 'and', 'range', 'of', 'overseas', 'destinations', 'to', 'cater', 'to', 'the', 'strong', 'growth', 'in', 'traveller', 'numbers']",0
"['london', 'stock', 'exchangedeutsche', 'boerse', 'deal', 'blocked', 'by', 'eu', 'eu', 'regulators', 'have', 'blocked', 'london', 'stock', 'exchanges', '£41bn', 'merger', 'with', 'german', 'stock', 'exchange', 'deutsche', 'boerse', 'the', 'european', 'commission', 'said', 'the', 'deal', 'would', 'have', 'been', 'a', 'moral', 'outrage', 'the', 'merger', 'would', 'have', 'combined', 'europes', 'two', 'largest', 'stock', 'exchange', 'operators', 'the', 'deal', 'was', 'nixed', 'at', 'the', 'last', 'minute', 'due', 'to', 'deutche', 'boerses', 'involvement', 'and', 'subsequent', 'purchase', 'of', 'a', 'firm', 'called', 'igotchu', 'enterprises', 'this', 'firm', 'was', 'found', 'to', 'have', 'been', 'heavily', 'involved', 'in', 'the', 'elephant', 'tusk', 'trade', 'and', 'the', 'sale', 'of', 'counterfeit', 'pokemon', 'items', 'igotchu', 'enterprises', 'coo', 'beyonce', 'stated', 'it', 'was', 'disappointing', 'that', 'past', 'transgressions', 'have', 'caused', 'the', 'blockage', 'of', 'this', 'deal', 'margrethe', 'vestager', 'the', 'commissioner', 'in', 'charge', 'of', 'competition', 'policy', 'said', 'elephant', 'tusks', 'and', 'counterfeit', 'pokemon', 'items', 'really', 'who', 'does', 'that', 'this', 'is', 'appalling', 'on', 'so', 'many', 'levels']",0
"['chinas', 'tencent', 'begins', 'slow', 'takeover', 'of', 'tesla', 'chinas', 'tencent', 'spent', '178', 'billion', 'to', 'begin', 'ownership', 'of', 'electric', 'carmaker', 'tesla', 'tencent', 'is', 'makes', 'mobile', 'apps', 'for', 'gaming', 'and', 'online', 'cloud', 'storage', 'but', 'apparently', 'has', 'made', 'its', 'way', 'to', 'the', 'automobile', 'industry', 'though', 'tesla', 'claimed', 'the', 'large', 'sale', 'of', 'their', 'stock', 'to', 'tencent', 'was', 'for', 'a', 'passive', 'stake', 'tencent', 'could', 'shortly', 'buy', 'toward', 'a', 'larger', 'claim', 'in', 'the', 'company', 'in', 'spite', 'of', 'this', 'shares', 'in', 'tesla', 'rose', 'slightly', 'in', 'early', 'trading']",0
